userId,movieId,rating,timestamp,rating_datetime,rating_year
1,1371,2.5,1260759135,2009-12-14 02:52:15,2009
1,1405,1.0,1260759203,2009-12-14 02:53:23,2009
1,2105,4.0,1260759139,2009-12-14 02:52:19,2009
1,2193,2.0,1260759198,2009-12-14 02:53:18,2009
1,2294,2.0,1260759108,2009-12-14 02:51:48,2009
1,2455,2.5,1260759113,2009-12-14 02:51:53,2009
2,17,5.0,835355681,1996-06-21 11:14:41,1996
2,62,3.0,835355749,1996-06-21 11:15:49,1996
2,110,4.0,835355532,1996-06-21 11:12:12,1996
2,144,3.0,835356016,1996-06-21 11:20:16,1996
2,150,5.0,835355395,1996-06-21 11:09:55,1996
2,153,4.0,835355441,1996-06-21 11:10:41,1996
2,161,3.0,835355493,1996-06-21 11:11:33,1996
2,165,3.0,835355441,1996-06-21 11:10:41,1996
2,168,3.0,835355710,1996-06-21 11:15:10,1996
2,185,3.0,835355511,1996-06-21 11:11:51,1996
2,186,3.0,835355664,1996-06-21 11:14:24,1996
2,222,5.0,835355840,1996-06-21 11:17:20,1996
2,223,1.0,835355749,1996-06-21 11:15:49,1996
2,225,3.0,835355552,1996-06-21 11:12:32,1996
2,235,3.0,835355664,1996-06-21 11:14:24,1996
2,248,3.0,835355896,1996-06-21 11:18:16,1996
2,253,4.0,835355511,1996-06-21 11:11:51,1996
2,261,4.0,835355681,1996-06-21 11:14:41,1996
2,265,5.0,835355697,1996-06-21 11:14:57,1996
2,266,5.0,835355586,1996-06-21 11:13:06,1996
2,272,3.0,835355767,1996-06-21 11:16:07,1996
2,273,4.0,835355779,1996-06-21 11:16:19,1996
2,292,3.0,835355492,1996-06-21 11:11:32,1996
2,296,4.0,835355395,1996-06-21 11:09:55,1996
2,300,3.0,835355532,1996-06-21 11:12:12,1996
2,314,4.0,835356044,1996-06-21 11:20:44,1996
2,317,2.0,835355551,1996-06-21 11:12:31,1996
2,319,1.0,835355918,1996-06-21 11:18:38,1996
2,339,3.0,835355492,1996-06-21 11:11:32,1996
2,350,4.0,835355697,1996-06-21 11:14:57,1996
2,364,3.0,835355604,1996-06-21 11:13:24,1996
2,377,3.0,835355710,1996-06-21 11:15:10,1996
2,405,2.0,835356246,1996-06-21 11:24:06,1996
2,410,3.0,835355532,1996-06-21 11:12:12,1996
2,454,4.0,835355604,1996-06-21 11:13:24,1996
2,457,3.0,835355511,1996-06-21 11:11:51,1996
2,468,4.0,835355790,1996-06-21 11:16:30,1996
2,480,4.0,835355643,1996-06-21 11:14:03,1996
2,497,3.0,835355880,1996-06-21 11:18:00,1996
2,500,4.0,835355731,1996-06-21 11:15:31,1996
2,508,4.0,835355860,1996-06-21 11:17:40,1996
2,509,4.0,835355719,1996-06-21 11:15:19,1996
2,527,4.0,835355731,1996-06-21 11:15:31,1996
2,539,3.0,835355767,1996-06-21 11:16:07,1996
2,550,3.0,835356109,1996-06-21 11:21:49,1996
2,551,5.0,835355767,1996-06-21 11:16:07,1996
